professor,projeto,resumo
MATEUS MENEGHETTI FERRER,As artistas da EBA: processos criativos e ações interdisciplinares,"Linguística, Letras e Artes"
MATEUS MENEGHETTI FERRER,As artistas da EBA: processos criativos e ações interdisciplinares,"O projeto de pesquisa dá continuidade e amplia investigações iniciadas em outras instâncias em torno de mulheres artistas, com intenção de resgatar protagonismos e promover o reconhecimento de obras e processos.  Nosso foco recai sobre as artistas da Escola de Belas Artes de Pelotas, com interesse nos processos criativos desenvolvidos, nas inovações e transgressões que atualizam discursos e percepções, inaugurando novos modos de ver a mulher artista, os processos de formação, as reverberações e resistências."
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,Pesquisa
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,01/06/2021 - 31/05/2025
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,Instituto de Física e Matemática
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,MARIO LUCIO MOREIRA
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,Ciências Exatas e da Terra
MATEUS MENEGHETTI FERRER,Materiais avançados multifuncionais aplicados a fôtonica e enrgias renovaveis: abordagens teória e experimental.,"O maior foco neste novo período será sobre sistemas de óxidos mistos e/ou outros sistemas cerâmicos, nano e mesoestruturados aplicados a processos fotônicos como células solares, fotocatálise, luminescência, guias de onda e sensores eletro/ópticos.  Para os processos fotoativos seguiremos buscando maximizar a reposta fotônica de sistemas do tipo Perovskitas ou associação de óxidos simples nanoestruturados, os quais possuem bandgap tipicamente da ordem de 3 a 6 eV, sendo significativamente alterado pela dopagem/solução sólida e/ou alinhamento de bandas. Desta forma, o controle sobre os parâmetros estruturais e eletrônicos permitem otimizar a resposta fotônica do sistema. Serão controladas as topografias das superfícies de modo a produzir “pseudo” guias de onda para maximizar por meio da maior captação de luz as respostas fotovoltaicas e fotocataliticas. Todos estes parâmetros podem ser controlados por meio da síntese e processamento destes materiais, levando a obtenção de compostos com a mesma estrutura, porem auto-organizados hierarquicamente e/ou dopados/solução sólida de modo a lhes conferir multifuncionalidade. Materiais auto-organizados hierarquicamente oferecem um maior controle sobre os processos de absorbância/transmitância/reflectância de acordo com a dimensionalidade de cada sistema, assim como na determinação da eficiência com a qual ocorre o processo de conversão de energia e fotocatálise. O mesmo é valido para compostos dopados, em que tais processos tem origem na estrutura eletrônica. Assim, o estudo da luminescência fornece dados importantes sobre como os fótons são absorvidos em processos de excitação e emissão, permitindo compreender melhor como estes processos atuam em células solares e compostos fotoativos. Logo a aplicação da interconectividade de técnicas a materiais que apresentem multifuncionalidade, seja por meio de auto-organização e/ou dopagens/solução sólida, permitirá cada vez mais compreender as correlações eletrônicas e estruturais frente ao comportamento fotoativo apresentado. Tal compreensão estabelece as bases necessárias para se propor aplicações de materiais avançados em sistemas com muit-demanda como estrutura de catalisadores, superfícies de células solares (energias renováveis), sensores e detectores de radiação."
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,Topografia e propriedades físicas de filmes finos
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,Pesquisa
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,14/04/2021 - 14/04/2025
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,Instituto de Física e Matemática
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,PEDRO LOVATO GOMES JARDIM
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,Ciências Exatas e da Terra
MATEUS MENEGHETTI FERRER,Topografia e propriedades físicas de filmes finos,"O estudo teórico e experimental de filmes finos despertam grande interesse devido à vasta aplicabilidade em diversas áreas da física. Filmes finos de semicondutores, por exemplo, formam a base da atual indústria eletrônica. No campo das energias renováveis, aparecem na vanguarda do desenvolvimento de células solares e na geração de hidrogênio por hidrólise. Filmes cerâmicos podem ser usados como recobrimento anticorrosivo, antiabrasivo, ou ainda, autolimpante. As potenciais aplicações se multiplicam conforme novos materiais e métodos de recobrimento são estudados. As propriedades físicas de filmes finos são grandemente influenciadas por sua topografia, que, no que lhe concerne, é fruto das técnicas e parâmetros de deposição, desbastamento e modificação utilizados em sua confecção. Relacionar as propriedades físicas de filmes finos com a topografia torna-se crucial quando se vislumbra uma determinada aplicação. Como exemplo, as declividades das estruturas presentes na superfície de filmes finos são determinantes para a molhabilidade. A condutividade e os processos difusivos perto da superfície associar-se-ão a espessura e a área destes filmes. O presente projeto visa um estudo experimental e teórico sistemático da influência da topografia de filmes finos em determinadas propriedades físicas. Propriedades, estas, relacionadas com temas de interesse do grupo de pesquisa em questão, CCAF. Em especial, o desenvolvimento de células solares de terceira geração, sensibilizadas por corante, superfícies com alta repelência a água, ou superhidrofóbicas, e qualquer outra vocação que venha a surgir para estes filmes. 
Especificamente, no estudo de superfícies repelentes à água, procura-se estudar a influência da topografia na molhabilidade de superfícies de filmes finos de óxidos metálicos e não-metálicos depositados por técnicas de bancada úmida (Spin Coating, Dip Coating e Spray Pyrolisys) e por técnicas de médio e alto vácuo (Physical Vapor Deposition e Eletron Gun). Alterando-se a taxa de deposição e o tempo, obtêm-se superfícies de rugosidade graduada. Se necessário, é possível auxiliar a texturização através de desbastamento químico. Estas superfícies podem ser funcionalizadas por deposição de surfactante, em geral, compostos fluorados. Medidas de ângulo de contato estático e  dinâmico (histerese) da gota serão necessárias para aferir a molhabilidade.
Em relação à pesquisa de energias renováveis, procura-se melhorar a eficiência e, logo, a relação custo benefício da utilização das células solares sensibilizadas por corante. Testar-se-á técnicas de deposição distintas do semicondutor sobre o vidro condutor, como 'Casting', eletroforese associada ao recobrimento de imersão  e PVD (Physical Vapor Deposition).  Posteriormente, aferir-se-a as propriedades ópticas e elétricas por meio de medidas de transmitância, voltametria cíclica, condutividade de quatro pontas e curvas I-V frente a um simulador solar.
A topografia, em ambas as frentes, será avaliada por medidas de microscopia de força atômica e interferometria de luz branca, que resolvem a superfície, revelando as estruturas presentes no filme e possibilitando o cálculo de parâmetros topográficos relevantes, como a rugosidade r.m.s., declividade r.m.s.  e o parâmetro da rugosidade de Wenzel. 
Espera-se, com este procedimento, não somente estabelecer uma correlação entre grandezas físicas estudadas e a topografia, aprimorando o design das superfícies, mas investigar de uma perspectiva fundamental a influência da topografia nas propriedades físicas de filmes finos."
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Ensino
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,08/06/2023 - 08/05/2025
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Centro de Desenvolvimento Tecnológico
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,CRISTIANE WIENKE RAUBACH
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,Engenharias
MATEUS MENEGHETTI FERRER,Projeto de Permanência e Qualidade Acadêmica do Curso de Engenharia de Materiais,"O ensino superior está passando por transformações pedagógicas significativas nos últimos anos, principalmente ao surgir a pandemia do COVID 19. Junto ao ensino, a economia também sofre alterações que afetam o interesse e as oportunidades dos jovens em cursar uma Universidade Pública, Gratuita e de Qualidade. Desta forma, ações que venham auxiliar o acesso e principalmente a permanência destes jovens nos cursos de graduação são fundamentais. Neste projeto, visamos ações que possam gerar mais oportunidades dos jovens que ingressarem na UFPel possam permanecer e assim se tornarem profissionais qualificados para atuar no mundo do trabalho."
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Extensão
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,04/09/2023 - 06/12/2024
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Centro de Desenvolvimento Tecnológico
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,AMANDA DANTAS DE OLIVEIRA
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Engenharias
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Educação / Educação
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,Divulgação científica e tecnológica
MATEUS MENEGHETTI FERRER,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,"A evasão é uma preocupação que vem sendo compartilhada por diversos cursos da UFPel e a sua redução precisa ser trabalhada através de ações que busquem a permanência dos alunos na Universidade. Além da evasão, outro fator preocupante é a redução do número de ingresso através das modalidades ENEM (Exame Nacional de Ensino Médio), SISU (Sistema de Seleção Unificada) e PAVE (Programa de Avaliação da Vida Escolar). O Centro de Desenvolvimento Tecnológico possui atualmente cinco cursos, são eles: Biotecnologia, Ciência e Engenharia de Computação, Engenharia Hídrica e Engenharia de Materiais, e os indicadores mostram uma tendência de redução do número de ingressantes principalmente para os cursos de Engenharia de Materiais e Engenharia Hídrica. Tomando como exemplo o curso de Engenharia de Materiais, comparando-se o número de ingressantes no semestre 2019/1 (antes da pandemia) com o semestre 2023/1, houve uma redução de aproximadamente 64%, dado bastante preocupantes. Já para o curso de Engenharia Hídrica houve uma redução de aproximadamente 43%, comparando o número de ingressantes em 2019/1 com 2023/1. Pretende-se então desenvolver nesse projeto ações que visam divulgar e aproximar os cursos da unidade com as escolas do município de Pelotas, com o intuito de divulgar os cursos e suas áreas de atuação para atrair alunos para estes cursos."
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,Estratégias para escalonamento de tarefas em arquiteturas multithread
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,PESQUISA
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,01/09/2019 - 31/08/2020
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,Centro de Desenvolvimento Tecnológico
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,GERSON GERALDO HOMRICH CAVALHEIRO
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,Ciências Exatas e da Terra - Ciência da Computação - Sistema de Computação
MAURICIO LIMA PILLA,Estratégias para escalonamento de tarefas em arquiteturas multithread,"Com a popularização de arquiteturas multicore, cresceu a demanda por desenvolvimento de software concorrente. Como resultado, diversas ferramentas de programação multithread foram apresentadas ao mercado. Uma característica comum a estas ferramentas é a incorporação de estratégias elaboradas de execução que visam otimizar algum índice de desempenho. O foco, tipicamente, é a redução do tempo total de execução. Neste projeto busca-se identificar a relação entre a interface de programação oferecida pelas diferentes ferramentas e suas heurísticas de escalonamento. O produto a ser obtido é uma ferramenta de programação multithread que forneça resultados de desempenho (tempo de execução) comparáveis às ferramentas disponíveis no mercado.Os avanços a serem obtidos dizem respeito ao estado da arte em interfaces para programação multithread e nas estratégias de escalonamento de threads em ambientes multithread dinâmicos. A metodologia de desenvolvimento inclui a condução dos experimentos sobre uma plataforma multiprocessada do tipo NUMA (non-uniform memory access) e realização de estudo de caso considerando heurísticas de escalonamento sensíveis ao consumo energético."
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,Memória Transacional Adaptativa para Arquiteturas Heterogêneas
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,PESQUISA
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,09/11/2019 - 09/11/2022
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,Centro de Desenvolvimento Tecnológico
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,ANDRE RAUBER DU BOIS
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,Ciências Exatas e da Terra - Ciência da Computação
MAURICIO LIMA PILLA,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,"Algoritmos para implementar a abstração de memórias transacionais são geralmente desenvolvidos levando em consideração arquiteturas UMA (Uniform memory access) na qual todos os processadores tem um tempo de acesso uniforme à memória principal e.g. [6, 7, 8]. Porém, hoje em dia existem várias arquiteturas diferentes baseadas em multi-cores que também necessitam abstrações de alto nível para o desenvolvimento de programas, e.g., NUMAs, clusters, GRIDs etc. Dessa forma, o objetivo deste trabalho é desenvolver um sistema de memórias transacionais adaptativo, que dependendo da arquitetura paralela usada, modifique o algoritmo transacional para melhor explorar os recursos do(s) dispositivo(s). O trabalho irá se dividir em duas áreas principais: (1) desenvolvimento da linguagem de alto nível para expressar transações de memória e (2) desenvolvimento do sistema de tempo de execução adaptativo que dará suporte as abstrações. A linguagem de programação funcionará como uma linguagem de domínio específico para programação de transações e deverá ser compatível com qualquer linguagem orientada a objetos que possua características modernas como polimorfismo de tipos (ou tipos genéricos) e abstrações lambda (ou clousures). O que diferencia esta linguagem de outras linguagens para programação paralela usando memórias transacionais é: a linguagem irá proporcionar um alto nível de composição, ou seja, transações poderão ser compostas para gerar novas  transações. Além disso a linguagem deverá permitir o acesso e interoperação de objetos concorrentes e distribuídos através de transações locais e remotas, o que será suportado por um sistema de tempo de execução adaptativo."
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,Pesquisa
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,01/10/2021 - 30/09/2023
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,Centro de Desenvolvimento Tecnológico
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,MARILTON SANCHOTENE DE AGUIAR
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,Ciências Exatas e da Terra
MÍRIAM BLANK BORN,Gestão Participativa dos Recursos Hídricos Utilizando Jogos Computacionais e Sistemas Multiagentes,"A Inteligência Artificial trata sobre computadores que são capazes de executar tarefas pensantes, que humanos e animais são capazes de executar. Nesta linha de raciocínio, computadores já resolvem muitos problemas, como cálculos aritméticos, ordenação e pesquisa de dados. Contudo, a motivação dos pesquisadores é baseada em aspectos filosóficos: entender a natureza do pensamento e da inteligência, e desta forma construir sistemas para modelar esta forma de pensar. Alguns pesquisadores são motivados pela psicologia e tentam entender como os processos mentais e do cérebro humano funcional. Em áreas aplicadas, os engenheiros buscam desenvolvem algoritmos para realização de atividades diárias das pessoas. O gerenciamento de recursos naturais é uma área que busca melhores formas de gerenciar terras, águas, plantas e animais, baseado em qualidade de vida das pessoas no presente e para gerações futuras. Essa área ganhou mais visibilidade com a noção de desenvolvimento sustentável, que é um princípio de como os governos veem e compreendem o mundo. O gerenciamento dos recursos naturais foca especificamente no entendimento técnico científico de recursos e ecologia e como esses recursos podem dar suporte à vida animal. Existem três desafios computacionais ligados ao gerenciamento de recursos naturais: gerenciamento e comunicação de dados; análise de dados; e controle e otimização. Para resolver esses desafios, a utilização de ferramentas computacionais utilizando técnicas de IA pode ser uma solução, visto que elas têm a flexibilidade necessária para tratar a dinâmica existentes em recursos naturais. Este projeto visa a utilização conjunta de Simulação Baseada em Multiagente e Jogos de Papéis com a finalidade de obter-se uma gestão participativa dos recursos hídricos, mais especificamente utilizando como base dados do estado do Rio Grande do Sul, e focando a aplicação piloto do trabalho no Comitê de Gerenciamento das Bacias Hidrográficas da Lagoa Mirim e do Canal São Gonçalo, que envolvem as cidades de Rio Grande e Pelotas, entre outras. Do que rege nosso conhecimento, ainda não foi aplicada essa metodologia no contexto do estado, buscando uma forma mais iterativa e participativa para a tomada de decisão sobre questões hídricas. Nessa abordagem, é vital a participação dos agentes envolvidos. Assim, uma integração com os membros do comitê de bacia da região proposta é essencial."
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Materiais Nanoestrurados e suas aplicações
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,30/07/2020 - 31/07/2022
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Centro de Desenvolvimento Tecnológico
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,NEFTALI LENIN VILLARREAL CARRENO
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Engenharias - Engenharia de Materiais e Metalúrgica - Materiais Não-Metálicos
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,"Já se sabe que as propriedades dos materiais com dimensões nanométricas podem diferir das propriedades do material em escala micro ou macrométrica. Fator importante para impulsionar o desenvolvimento de nanomateriais com aplicações especifica como, por exemplo, para resolver problemas de contaminação do meio ambiente e aplicação na área da saúde por exemplo, soluções de problemas energéticos, obtenção e desenvolvimentos de materiais de alto valor agregado com características superficiais excepcionais."
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,03/04/2019 - 03/04/2022
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,"Centro de Ciências Químicas, Farmacêuticas e de Alimentos"
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,CLAUDIO MARTIN PEREIRA DE PEREIRA
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,Ciências Exatas e da Terra - Química - Química Orgânica
NEFTALI LENIN VILLARREAL CARRENO,MACROALGAS ANTÁRTICAS: APLICAÇÃO DA CROMATOGRAFIA GASOSA (CG-MS) NO ESTUDO COMPARATIVO DA COMPOSIÇÃO DE ESTERÓIS E LIPÍDEOS,"Nas últimas décadas, o crescente aumento de pesquisas com macroalgas resultou na descoberta de metabólitos com atividade biológica, destacando-se como uma notável fonte de diversidade química, responsável por 20% dos compostos relatados de origem marinha.
	Além disso, sabe-se que as macroalgas são uma rica fonte de proteínas, representando o ideal material de base para a geração de peptídeos bioativos derivados de proteínas marinhas. E alguns peptídeos bioativos podem apresentar propriedades imunomodulatório, antibacteriano, antitrombótico e atividade anti-hipertensiva.
Nas algas marinhas encontram-se facilmente os ácidos graxos poliinsaturados como ômega-3, ômega-6. Estes ácidos são de extrema importância para ao ser humano, pois não são sintetizados pelo organismo dos mesmos.  Elas também são compostas por fitoesteróis, possuem uma lipoproteina de baixa densidade(LDL) que tem o efeito de diminuir o colesterol. Os fitoesteróis são compostos por um ou dois carbono substituintes com estequiometria variável na posição C-24 na cadeia lateral de esterol. Os fitoesteróis mais abundante nas plantas é β-sitosterol, seguido por Stigmasterol e campesterol.Dentre as perspectivas do projeto podemos citar:
- As análises de ácidos graxos e esterois por Cromatografia Gasosa permitirá formar um
banco de dados ainda inexistente e assim, buscar novos protótipos bioativos;
- Mapeamento da composição lipídica de macroalgas da Antártica;
- Prospecção de moléculas potencialmente bioativas, como o EPA e o DHA;
- Levantamento de compostos de macroalgas e comparação dentre as classes e
subclasses existentes;
- Execução de levantamento de dados de lipídios, classe imensamente estudada e de
potencial farmacológico e biotecnológico."
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,17/11/2017 - 17/11/2021
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,"Centro de Ciências Químicas, Farmacêuticas e de Alimentos"
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,CLAUDIO MARTIN PEREIRA DE PEREIRA
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,Ciências Exatas e da Terra - Química
NEFTALI LENIN VILLARREAL CARRENO,Reveladores e Marcadores Forense: Obtenção e Propriedades Químicas,"A identificação de impressões digitais é uma importante ferramenta no reconhecimento de indivíduos. No âmbito das ciências forenses, impressões digitais podem ligar uma vítima ou um suspeito a uma cena do crime e/ou um suspeito a uma vítima. Neste contexto, a técnica do pó é amplamente utilizada, sendo considerada uma das mais importantes da papiloscopia. A técnica do pó vem sendo utilizada desde o início dos anos 1900. Ao longo deste período, muitas formulações em pó para a revelação de impressões digitais latentes já foram utilizadas, constituídas por um corante para contraste e um material resinoso, para facilitar a adesão do pó. No entanto, algumas das substâncias químicas utilizadas nestas formulações são tóxicas e apresentam potenciais riscos à saúde. A busca por novos reveladores de impressões digitais latentes que não representem risco para a saúde do perito que os manuseia, é uma preocupação atual no âmbito das ciências forenses. Nesse sentido, compostos heterocíclicos vêm sendo amplamente estudados por apresentarem baixa toxicidade e diversas propriedades farmacológicas."
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,15/05/2019 - 14/05/2021
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,Centro de Desenvolvimento Tecnológico
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,ANDERSON THESING
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,Engenharias - Engenharia de Materiais e Metalúrgica
NEFTALI LENIN VILLARREAL CARRENO,Obtenção de nanoestruturas yolk@shell para aplicação em conversão de energia e sensores,"Neste projeto serão produzidos novos materiais para conversão de energia e sensores com alto desempenho. Os sensores serão constituídos de nanoestruturas do tipo yolk@shell, sendo yolk nanopartículas metálicas e o shell semicondutores inorgânicos, com composição controlada através do processo de síntese hidrotermal. A estrutura yolk@shell proporciona elevada área superficial para adsorção e difusão de espécies químicas. Combinando as propriedades dos semicondutores inorgânicos, como alta estabilidade térmica, química e atividade catalítica com o efeito de plasmon de superfície das nanopartículas metálicas, pretende-se melhorar significativamente o limite de detecção, eficiência, facilidade de obtenção e sensibilidade dos materiais sintetizados na aplicação de conversão de energia e sensores. Buscar-se-á materiais de baixo custo, fácil obtenção e elevada eficiência. Os resultados serão divulgados na comunidade através de patentes, e/ou publicação de artigos científicos de alto fator de impacto na área de materiais, além da apresentação em congressos nacionais e internacionais na área de novos materiais, energia e sensores, corroborando para os avanços tecnológicos do país."
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Materiais Nanoestrurados e suas aplicações
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,16/07/2018 - 29/07/2020
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Centro de Desenvolvimento Tecnológico
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,NEFTALI LENIN VILLARREAL CARRENO
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,Engenharias - Engenharia de Materiais e Metalúrgica - Materiais Não-Metálicos
NEFTALI LENIN VILLARREAL CARRENO,Materiais Nanoestrurados e suas aplicações,"Já se sabe que as propriedades dos materiais com dimensões nanométricas podem diferir das propriedades do material em escala micro ou macrométrica. Fator importante para impulsionar o desenvolvimento de nanomateriais com aplicações especifica como, por exemplo, para resolver problemas de contaminação do meio ambiente e aplicação na área da saúde por exemplo, soluções de problemas energéticos, obtenção e desenvolvimentos de materiais de alto valor agregado com características superficiais excepcionais."
NEFTALI LENIN VILLARREAL CARRENO,"Compósitos Cimentícios Aditivados com Fibras Naturais, Sintéticas E Resíuos","Compósitos Cimentícios Aditivados com Fibras Naturais, Sintéticas E Resíuos"
NEFTALI LENIN VILLARREAL CARRENO,"Compósitos Cimentícios Aditivados com Fibras Naturais, Sintéticas E Resíuos",PESQUISA
NEFTALI LENIN VILLARREAL CARRENO,"Compósitos Cimentícios Aditivados com Fibras Naturais, Sintéticas E Resíuos",02/03/2020 - 31/08/2021
